시군명,인허가일자,영업상태명,업체수
가평군,20180518,정상,1
안산시,20180521,정상,1
광주시,20180521,정상,1
남양주시,20180521,정상,1
고양시,20180523,정상,1
광주시,20180525,정상,1
여주시,20180530,정상,1
화성시,20180530,정상,1
용인시,20180601,정상,1
오산시,20180604,정상,1
화성시,20180605,정상,1
안성시,20180607,정상,1
여주시,20180607,정상,1
화성시,20180607,정상,1
화성시,20180608,정상,1
김포시,20180611,정상,1
김포시,20180611,정상,1
김포시,20180611,정상,1
고양시,20180611,정상,1
의정부시,20180612,정상,1
시흥시,20180615,정상,1
화성시,20180615,정상,1
양평군,20180618,정상,1
이천시,20180618,정상,1
화성시,20180619,정상,1
안성시,20180620,정상,1
화성시,20180620,정상,1
가평군,20180622,정상,1
양평군,20180625,정상,1
용인시,20180625,정상,1
남양주시,20180627,정상,1
광주시,20180629,정상,1
안성시,20180629,정상,1
김포시,20180705,정상,1
평택시,20180705,정상,1
파주시,20180706,정상,1
포천시,20180709,정상,1
김포시,20180709,정상,1
양주시,20180710,정상,1
연천군,20180711,정상,1
김포시,20180716,정상,1
남양주시,20180718,정상,1
포천시,20180720,정상,1
김포시,20180720,정상,1
이천시,20180723,정상,1
이천시,20180724,정상,1
가평군,20180725,정상,1
화성시,20180725,정상,1
김포시,20180730,정상,1
양평군,20180730,정상,1
포천시,20180731,정상,1
고양시,20180801,정상,1
안성시,20180801,정상,1
양평군,20180801,정상,1
가평군,20180801,정상,1
용인시,20180803,정상,1
용인시,20180803,정상,1
용인시,20180803,정상,1
가평군,20180803,정상,1
파주시,20180806,정상,1
파주시,20180807,정상,1
이천시,20180808,정상,1
광주시,20180808,정상,1
파주시,20180810,정상,1
양주시,20180817,정상,1
양평군,20180817,정상,1
양주시,20180820,정상,1
양주시,20180820,정상,1
용인시,20180822,정상,1
화성시,20180829,정상,1
화성시,20180829,정상,1
화성시,20180829,정상,1
화성시,20180829,정상,1
여주시,20180905,정상,1
화성시,20180907,정상,1
여주시,20180911,정상,1
양평군,20180911,정상,1
여주시,20180912,정상,1
이천시,20180912,정상,1
파주시,20180915,정상,1
여주시,20180920,정상,1
화성시,20180921,정상,1
여주시,20180921,정상,1
남양주시,20180921,정상,1
평택시,20180928,정상,1
남양주시,20181001,정상,1
의정부시,20181002,정상,1
여주시,20181002,정상,1
포천시,20181002,정상,1
여주시,20181016,정상,1
화성시,20181017,정상,1
양주시,20181018,정상,1
평택시,20181019,정상,1
광주시,20181023,정상,1
남양주시,20181024,정상,1
여주시,20181026,정상,1
김포시,20181028,정상,1
김포시,20181028,정상,1
고양시,20181101,정상,1
광주시,20181101,정상,1
용인시,20181102,정상,1
용인시,20181106,정상,1
가평군,20181106,정상,1
안성시,20181106,정상,1
평택시,20181107,정상,1
고양시,20181107,정상,1
남양주시,20181113,정상,1
고양시,20181113,정상,1
용인시,20181114,정상,1
용인시,20181114,정상,1
평택시,20181116,정상,1
남양주시,20181119,정상,1
화성시,20181120,정상,1
화성시,20181121,정상,1
광주시,20181122,정상,1
안성시,20181126,정상,1
남양주시,20181126,정상,1
김포시,20181129,정상,1
포천시,20181130,정상,1
화성시,20181205,정상,1
동두천시,20181207,정상,1
화성시,20181207,정상,1
남양주시,20181215,정상,1
고양시,20181215,정상,1
안성시,20181226,정상,1
양평군,20181227,정상,1
용인시,20181231,정상,1
광주시,20181231,정상,1
파주시,20190107,정상,1
파주시,20190107,정상,1
여주시,20190110,정상,1
여주시,20190110,정상,1
파주시,20190118,정상,1
김포시,20190118,정상,1
남양주시,20190123,정상,1
화성시,20190130,정상,1
화성시,20190201,정상,1
파주시,20190203,정상,1
남양주시,20190208,정상,1
포천시,20190211,정상,1
안산시,20190212,정상,1
평택시,20190215,정상,1
평택시,20190215,정상,1
양평군,20190218,정상,1
여주시,20190219,정상,1
김포시,20190219,정상,1
양평군,20190221,정상,1
부천시,20190222,정상,1
화성시,20190222,정상,1
양평군,20190226,정상,1
양주시,20190227,정상,1
광주시,20190228,정상,1
고양시,20190306,정상,1
파주시,20190308,정상,1
용인시,20190311,정상,1
용인시,20190311,정상,1
여주시,20190312,정상,1
김포시,20190314,정상,1
양평군,20190319,정상,1
연천군,20190322,정상,1
파주시,20190326,정상,1
연천군,20190401,정상,1
연천군,20190401,정상,1
평택시,20190402,정상,1
김포시,20190402,정상,1
양주시,20190402,정상,1
부천시,20190409,정상,1
평택시,20190409,정상,1
김포시,20190411,정상,1
가평군,20190412,정상,1
김포시,20190415,정상,1
연천군,20190415,정상,1
김포시,20190415,정상,1
남양주시,20190416,정상,1
부천시,20190417,정상,1
여주시,20190418,정상,1
연천군,20190418,정상,1
연천군,20190418,정상,1
김포시,20190422,정상,1
양평군,20190424,정상,1
파주시,20190430,정상,1
화성시,20190501,정상,1
김포시,20190502,정상,1
김포시,20190502,정상,1
김포시,20190509,정상,1
양주시,20190509,정상,1
화성시,20190510,정상,1
포천시,20190517,정상,1
포천시,20190517,정상,1
이천시,20190520,정상,1
용인시,20190520,정상,1
여주시,20190522,정상,1
양평군,20190523,정상,1
수원시,20190524,정상,1
파주시,20190529,정상,1
포천시,20190529,정상,1
파주시,20190530,정상,1
여주시,20190604,정상,1
고양시,20190604,정상,1
평택시,20190607,정상,1
가평군,20190607,정상,1
양평군,20190610,정상,1
김포시,20190613,정상,1
김포시,20190613,정상,1
포천시,20190613,정상,1
여주시,20190616,정상,1
파주시,20190619,정상,1
김포시,20190620,정상,1
김포시,20190621,정상,1
오산시,20190624,정상,1
김포시,20190624,정상,1
김포시,20190626,정상,1
김포시,20190626,정상,1
김포시,20190627,정상,1
양평군,20190628,정상,1
포천시,20190701,정상,1
양주시,20190708,정상,1
안성시,20190711,정상,1
광주시,20190711,정상,1
김포시,20190715,정상,1
포천시,20190715,정상,1
고양시,20190715,정상,1
포천시,20190715,정상,1
김포시,20190718,정상,1
양평군,20190719,정상,1
양평군,20190722,정상,1
